value,color
-40,#ff60ff
-35,#ff40f6
-30,#f020e8
-25,#e01cd8
-20,#c014b8
-18,#a00c9a
-16,#800486
-15,#600070
-14,#480076
-13,#3c007a
-12,#30007e
-11,#001c82
-10,#002a86
-9,#004890
-8,#006ab0
-7,#008ee0
-6,#189af8
-5,#4cacff
-4,#74bcff
-3,#9cccff
-2,#b4d8ff
-1,#d4e8ff
0,#40e0b0
1,#60d8a0
2,#70cc90
3,#58b078
4,#489c68
5,#089c28
6,#0cac12
7,#24b410
8,#40bc0e
9,#5cc40c
10,#88d808
11,#a0e006
12,#b8e805
13,#d0f004
14,#e4f802
15,#f4fc00
16,#f0e410
17,#f4d40c
18,#f4c40c
19,#f4b00c
20,#f4980c
21,#f4800c
22,#f4700c
23,#f4600c
24,#f4480c
25,#e42c08
26,#d81c08
27,#c0100a
28,#b4100e
29,#a40c14
30,#840000
31,#700000
32,#5c0000
33,#843030
34,#ac5e5e
35,#c47474
36,#e89898
37,#f8b0b0
38,#fcc4c4
39,#fcdcdc
40,#fff0f0
41,#f0e0e0
42,#d8d0d0
43,#c0b8b8
44,#a09898
45,#6a6a6a
